Podcast title (n = 94),Sponsoring network (n = 47),URL,first episode,official transcript?,filetype
"My Brother, My Brother and Me",Maximum Fun ,https://maximumfun.org/podcasts/my-brother-my-brother-and-me/,Apr 2010,yes,"PDF, embedded"
"Jordan, Jesse, Go!",Maximum Fun ,https://maximumfun.org/episodes/jordan-jesse-go,Dec 2006,no,n/a
The Daily,New York Times ,https://www.nytimes.com/column/the-daily,Jan 2017,yes,"HTML, pop-up textbox window"
the Ezra Klein Show,New York Times ,https://www.nytimes.com/column/ezra-klein-podcast,Jan 2021,yes,"HTML, pop-up textbox window"
Welcome to Night Vale,Night Vale Presents ,http://www.welcometonightvale.com/,Jun 2012,yes,HTML
Sleep with Me,Night Vale Presents ,https://www.sleepwithmepodcast.com/,Oct 2013,no,n/a
How I Built This,National Public Radio (NPR),https://www.npr.org/podcasts/510313/how-i-built-this,Sep 2016,no,n/a
Wait Wait Don't Tell Me,National Public Radio (NPR),https://www.npr.org/podcasts/344098539/wait-wait-don-t-tell-me,Jan 1998,no,n/a
Conspiracy Theories,Parcast Network (Spotify) ,https://www.parcast.com/conspiracy,Jan 2018,no,n/a
Unlocking Us with Brene Brown,Parcast Network (Spotify) ,https://brenebrown.com/unlockingus/,Jan 2020,yes,HTML
Kingery,Pendant Productions ,http://pendantaudio.com/shows/kingery,Mar 2007,yes,PDF
Mage and Machine,Pendant Productions ,http://www.pendantaudio.com/shows/mage,Oct 2013,yes,PDF
Rob Has a Podcast,PodcastOne ,https://www.podcastone.com/rob-has-a-podcast,Feb 2010,no,n/a
The Jordan Harbinger Show,PodcastOne ,https://www.jordanharbinger.com/podcasts/,Feb 2016,yes,"HTML, scrollable frame"
99% Invisible,Radiotopia - Public Radio Exchange,https://99percentinvisible.org/,Sep 2010,yes,HTML
Criminal,Radiotopia - Public Radio Exchange,https://thisiscriminal.com/,Jan 2014,by request,n/a
Cortex,Relay FM ,https://www.relay.fm/shows/cortex/,Jun 2015,no,n/a
Parallel,Relay FM ,https://www.relay.fm/parallel,Aug 2018,yes,"Word doc, txt"
The Bill Simmons Podcast,The Ringer ,https://www.theringer.com/the-bill-simmons-podcast,fall 2015,no,n/a
The Ringerverse,The Ringer ,https://www.theringer.com/the-ringer-verse-podcast,Mar 2021,no,n/a
Dear Prudence,Slate ,https://slate.com/podcasts/dear-prudence,Jun 2016,yes,HTML
Thrilling Tales of Modern Capitalism,Slate ,https://slate.com/podcasts/thrilling-tales-of-modern-capitalism,May 2020,yes,HTML
Smodcast,SModcast Podcast Network ,https://www.smodcast.com/channel/smodcast?audio=444,Feb 2007,no,n/a
Last Week on Earth w/Ben Gleib,SModcast Podcast Network ,https://soundcloud.com/lastweekonearth/last-week-on-earth-with-ben,Nov 2011,no,n/a
Glowing Up,Starburns Audio ,https://starburns.audio/podcasts/glowing-up/,Jul 2017,no,n/a
Gilbert Gottfried’s Amazing Colossal Podcast!,Starburns Audio ,https://www.gilbertpodcast.com/,Jun 2014,no,n/a
Science Rules w/ Bill Nye,,https://www.stitcher.com/show/science-rules-with-bill-nye,Apr 2019,no,n/a
Freakonomics Radio,,https://freakonomics.com/archive/,Feb 2010,yes,HTML
TED Talks Daily,TED Radio Collective,https://www.ted.com/about/programs-initiatives/ted-talks/ted-talks-daily,Apr 2020,yes,"HTML, some in MANY languages"
Work Life,TED Radio Collective,https://www.ted.com/series/worklife_with_adam_grant,May 2018,yes,HTML
Israel in Translation,TLV1 - Israel,https://tlv1.fm/israel-in-translation/,Feb 2014,no,n/a
Streetwise Hebrew,TLV1 - Israel,https://tlv1.fm/podcasts/streetwise-hebrew-show/,Aug 2013,no,n/a
This Week in Tech,This Week in Tech (TWiT.tv) ,https://twit.tv/shows/this-week-in-tech,Jan 2005,yes,HTML
Hands-On Tech,This Week in Tech (TWiT.tv) ,https://twit.tv/shows/hands-on-tech,Feb 2019,no,n/a
"Today, Explained",Vox Media Podcast Network ,https://www.vox.com/today-explained,Feb 2018,yes,Google docs
the VergeCast,Vox Media Podcast Network ,https://www.theverge.com/the-vergecast,Apr 2011,no,n/a
Aria Code,WNYC Studios ,https://www.wnycstudios.org/podcasts/aria-code,Nov 2018,no,n/a
Death Sex and Money,WNYC Studios ,https://www.wnycstudios.org/podcasts/deathsexmoney,May 2014,yes,HTML
Atlas Obscura Podcast,WitnessDocs,https://www.atlasobscura.com/podcast,Mar 2021,no,n/a
the Dream,WitnessDocs,https://www.witnesspodcasts.com/shows/the-dream,Sep 2020,no,n/a
Dr. Death,Wondery ,https://wondery.com/shows/dr-death/,Aug 2018,no,n/a
Spy Affair,Wondery ,https://wondery.com/shows/spy-affair/,Mar 2021,no,n/a
